Store's Types;City;DATE;UnitsSold
ECI stores;CORDOBA;16/03/2019;834
ECI stores;CORDOBA;18/03/2019;291
ECI stores;CORDOBA;19/03/2019;396
ECI stores;CORDOBA;20/03/2019;276
ECI stores;CORDOBA;21/03/2019;210
ECI stores;CORDOBA;22/03/2019;615
ECI stores;CORDOBA;23/03/2019;825
ECI stores;CORDOBA;25/03/2019;339
ECI stores;CORDOBA;26/03/2019;309
ECI stores;CORDOBA;27/03/2019;333
ECI stores;CORDOBA;28/03/2019;177
ECI stores;CORDOBA;29/03/2019;285
ECI stores;CORDOBA;30/03/2019;957
ECI stores;CORDOBA;01/04/2019;285
ECI stores;CORDOBA;02/04/2019;123
ECI stores;CORDOBA;03/04/2019;333
ECI stores;CORDOBA;04/04/2019;186
ECI stores;CORDOBA;05/04/2019;438
ECI stores;CORDOBA;06/04/2019;1095
ECI stores;CORDOBA;08/04/2019;396
ECI stores;CORDOBA;09/04/2019;447
ECI stores;CORDOBA;10/04/2019;510
ECI stores;CORDOBA;11/04/2019;519
ECI stores;CORDOBA;12/04/2019;486
ECI stores;CORDOBA;13/04/2019;753
ECI stores;CORDOBA;15/04/2019;324
ECI stores;CORDOBA;16/04/2019;420
ECI stores;CORDOBA;17/04/2019;420
ECI stores;CORDOBA;20/04/2019;609
ECI stores;ELCHE;01/03/2019;72
ECI stores;ELCHE;02/03/2019;72
ECI stores;ELCHE;04/03/2019;90
ECI stores;ELCHE;05/03/2019;2
ECI stores;ELCHE;06/03/2019;48
ECI stores;ELCHE;07/03/2019;33
ECI stores;ELCHE;08/03/2019;57
ECI stores;ELCHE;09/03/2019;123
ECI stores;ELCHE;11/03/2019;81
